week,activation_id,restaurant_name,location_name,activation_description,activation_start,activation_end,unique_users_count,total_tpv,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage
Week 2,"25,889",Third Time's The Charm,Red Hook,"Spend $75 with Blackbird Pay, get $25 in $FLY back",2025-11-09 16:00:00,2025-11-09 21:00:00,0,0.0,,,0.0,0.0,0,0,0.0
Week 2,"25,441",Upstate Stock,Williamsburg,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-11-09 15:00:00,2025-11-09 19:00:00,4,80.06,-34.83,120.3,20.0,2320.0,1,3,25.0
Week 2,"25,518",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",2025-11-09 13:00:00,2025-11-09 15:00:00,4,193.7,243.22,80.37,15.0,4830.0,1,3,25.0
Week 2,"25,528",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",2025-11-09 13:00:00,2025-11-09 15:00:00,4,127.28,58.52,18.25,15.0,4830.0,1,3,25.0
Week 2,"22,902",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-11-09 12:00:00,2025-11-09 22:00:00,2,765.28,,,105.0,2255.0,2,0,100.0
Week 2,"25,431",Uncork,Wraggborough,"Spend $45 with Blackbird Pay, get $15 in $FLY back",2025-11-09 12:00:00,2025-11-09 15:00:00,0,0.0,,,0.0,4985.0,0,0,0.0
Week 2,"25,693",Amen Street Fish & Raw Bar,French Quarter - Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",2025-11-09 11:00:00,2025-11-09 16:00:00,2,161.05,-33.86,13.29,20.0,2410.0,1,1,50.0
Week 2,"25,414",Palm House,Marina,"Spend $55 with Blackbird Pay, get $20 in $FLY back",2025-11-09 10:30:00,2025-11-09 15:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 2,"25,011",Rudy Royale,Rudy Royale,"Spend $55 with Blackbird Pay, get $20 in $FLY back",2025-11-09 10:00:00,2025-11-09 14:00:00,1,49.77,206.28,53.14,0.0,4670.0,0,1,0.0
Week 2,"25,074",Paper Son Coffee ,Paper Son Coffee - Dogpatch,"Spend $25 with Blackbird Pay, get $25 in $FLY back",2025-11-09 10:00:00,2025-11-09 14:00:00,5,93.32,425.75,207.69,75.0,6700.0,1,4,20.0
Week 2,"24,857",The Lost Draft,SoHo,"Spend $25 with Blackbird Pay, get $10 in $FLY back",2025-11-09 08:00:00,2025-11-09 12:00:00,2,60.41,,,20.0,2460.0,1,1,50.0
Week 2,"24,790",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,2025-11-09 07:00:00,2025-11-09 19:00:00,4,77.37,-74.67,-62.37,0.0,2050.0,2,2,50.0
Week 2,"25,888",Third Time's The Charm,Red Hook,"Spend $75 with Blackbird Pay, get $25 in $FLY back",2025-11-08 16:00:00,2025-11-09 00:00:00,0,0.0,-100.0,-100.0,0.0,0.0,0,0,0.0
Week 2,"25,527",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",2025-11-08 13:00:00,2025-11-08 15:00:00,3,59.53,-24.38,0.0,10.0,4830.0,1,2,33.33
Week 2,"25,517",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",2025-11-08 13:00:00,2025-11-08 15:00:00,5,120.3,-27.84,-21.89,10.0,4830.0,1,4,20.0
Week 2,"22,901",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-11-08 12:00:00,2025-11-09 00:00:00,3,76.69,,,0.0,2255.0,1,2,33.33
Week 2,"24,554",Ma'am Saab,Downtown Charleston,"Spend $35 with Blackbird Pay, get $10 in $FLY back",2025-11-08 11:30:00,2025-11-08 14:00:00,1,43.96,,,10.0,4960.0,0,1,0.0
Week 2,"25,846",The Little Pig,Boerum Hill,"Spend $75 with Blackbird Pay, get $30 in $FLY back",2025-11-08 11:30:00,2025-11-09 02:00:00,0,0.0,,,0.0,4970.0,0,0,0.0
Week 2,"25,692",Amen Street Fish & Raw Bar,French Quarter - Charleston,"Spend $40 with Blackbird Pay, get $10 in $FLY back",2025-11-08 11:00:00,2025-11-08 16:00:00,1,64.16,-63.23,110.36,10.0,2410.0,1,0,100.0
Week 2,"25,413",Palm House,Marina,"Spend $55 with Blackbird Pay, get $20 in $FLY back",2025-11-08 10:30:00,2025-11-08 15:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 2,"25,073",Paper Son Coffee ,Paper Son Coffee - Dogpatch,"Spend $25 with Blackbird Pay, get $25 in $FLY back",2025-11-08 10:00:00,2025-11-08 14:00:00,5,119.93,702.21,72.58,100.0,6700.0,2,3,40.0
Week 2,"25,607",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-11-08 10:00:00,2025-11-09 04:00:00,0,0.0,-100.0,-100.0,0.0,4975.0,0,0,0.0
Week 2,"25,685",Upstate Stock,Williamsburg,"Spend $30 with Blackbird Pay, get $10 in $FLY back",2025-11-08 07:30:00,2025-11-08 19:00:00,24,415.49,1.69,-12.02,50.0,2320.0,6,18,25.0
Week 2,"24,789",Sagaponack General Store,Sagaponack,Spend $100 get $50 in $FLY,2025-11-08 07:00:00,2025-11-08 19:00:00,8,437.5,66.82,-18.69,100.0,2050.0,3,5,37.5
Week 2,"22,900",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",2025-11-07 16:00:00,2025-11-08 00:00:00,0,0.0,,,0.0,2255.0,0,0,0.0
Week 2,"25,312",The Blue Light,Pacific Heights,"Spend $40 with Blackbird Pay, get $15 in $FLY back",2025-11-07 16:00:00,2025-11-07 18:00:00,0,0.0,,,0.0,5000.0,0,0,0.0
Week 2,"24,650",Carta,West Village,"Spend $50 with Blackbird Pay, get $25 in $FLY back",2025-11-07 16:00:00,2025-11-07 19:00:00,0,0.0,,,0.0,0.0,0,0,0.0
