date,day_of_week,activation_id,restaurant_name,location_name,activation_description,minimum_spend_threshold,reward_amount,activation_start,activation_end,unique_users_count,unique_users_count_REDEEMED,total_tpv,median_check,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage,notes
2025-10-28,Tuesday,"22,915",82 Queen,French Quarter,"Spend $75 with Blackbird Pay, get $20 in $FLY back",75.0,20.0,2025-10-28 17:00:00,2025-10-28 21:00:00,1,1,103.23,103.23,,,20.0,4940.0,0,1,0.0,
2025-10-28,Tuesday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,2,0,97.07,25.62,,,0.0,2115.0,0,2,0.0,
2025-10-29,Wednesday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,2,0,95.64,47.82,,,0.0,2115.0,0,2,0.0,
2025-10-30,Thursday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,1,0,42.47,42.47,,,0.0,2115.0,1,0,100.0,
2025-10-31,Friday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,1,0,28.78,28.78,,,0.0,2115.0,0,1,0.0,
2025-11-01,Saturday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,2,1,135.36,67.68,,,35.0,2115.0,0,2,0.0,
2025-11-02,Sunday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,2,0,87.37,43.68,,,0.0,2115.0,1,1,50.0,
2025-11-04,Tuesday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,0,0,0.0,,,,0.0,2115.0,0,0,,No transactions during activation period
2025-11-05,Wednesday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,0,0,0.0,,,,0.0,2115.0,0,0,,No transactions during activation period
2025-11-06,Thursday,"22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100.0,35.0,2025-10-28 16:00:00,2025-11-16 22:00:00,0,0,0.0,,,,0.0,2115.0,0,0,,No transactions during activation period
