week,activation_id,restaurant_name,location_name,activation_description,minimum_spend_threshold,reward_amount,activation_start,activation_end,unique_users_count,unique_users_count_REDEEMED,total_tpv,median_check,tpv_vs_baseline,median_check_vs_baseline,marketing_spend,remaining_group_budget,new_users_count,returning_users_count,new_user_percentage,notes,emails,email_match_confidence,email_match_notes
Week 6,"22,910, 22,909, 22,908, 22,907, 22,906, 22,905, 22,904, 22,903, 22,902, 22,901, 22,900, 22,899, 22,898, 22,897, 22,896, 22,895, 22,894, 22,893, 22,892, 22,891, 22,890, 22,889, 22,888, 22,887, 22,886, 22,885, 22,884, 22,883, 22,882, 22,881, 22,880, 22,879",Ace Eat Serve,Uptown,"Spend $100, get $35 FLY back (Pay with Blackbird)",100,35,2025-10-14 16:00:00,2025-11-19 22:00:00,3,0,72.03,14.5,,,0,2115,2,1,66.67,,"arika@aceeatserve.com, embiederman@gmail.com",100%,2 email(s) from 2 match(es) (including 2 perfect)
Week 6,"26,514, 26,513, 26,512, 26,511, 26,510, 26,509, 26,508, 26,507, 26,506, 26,505, 26,504, 26,503, 26,502, 26,501",Aquarelle,Aquarelle,"Spend $100 with Blackbird Pay, get $50 in $FLY back",100,50,2025-11-17 16:30:00,2025-12-01 1:00:00,16,14,2042.19,100.82,,,700,1750,15,1,93.75,,,No match,No contacts matched above confidence threshold
Week 6,"25,454, 25,453, 25,452, 25,451",Baguette Magic,James Island,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25,10,2025-10-29 10:00:00,2025-11-19 14:00:00,6,4,214.24,36.08,-64.96,67.04,40,4880,2,4,33.33,,"baguettemagicchs@gmail.com, baguettemagicchs@gmail.com, gm@baguettemagic.com, owners@baguettemagic.com, sam@baguettemagic.com",100%,5 email(s) from 5 match(es) (including 1 perfect)
Week 6,"25,450, 25,445, 25,448, 25,443",Baguette Magic,West Ashley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25,10,2025-10-29 10:00:00,2025-11-19 14:00:00,5,1,82.55,14.56,-92.82,-15.5,10,4880,0,5,0,,"baguettemagicchs@gmail.com, gm@baguettemagic.com, owners@baguettemagic.com, sam@baguettemagic.com",95.0%,4 email(s) from 4 match(es) above 70%
Week 6,"25,305, 25,304, 25,303, 25,302, 25,301, 25,300, 25,299, 25,298",Barn Joo,Union Square,"Spend $45 with Blackbird Pay, get $15 in $FLY back",45,15,2025-10-27 12:00:00,2025-11-19 16:00:00,5,4,261.87,50.08,-76.37,73.71,60,2335,4,1,80,,angelica@barnjoo.com,80.2%,1 email(s) from 1 match(es) above 70%
Week 6,"25,229, 25,228, 25,227, 25,226",Bernie's,Noe Valley,"Spend $25 with Blackbird Pay, get $10 in $FLY back",25,10,2025-10-27 10:00:00,2025-11-17 14:00:00,3,0,24.04,8.54,-24.28,6.75,0,2500,0,3,0,,bernadettediti@me.com,84.3%,1 email(s) from 1 match(es) above 70%
Week 6,"25,420, 25,419, 25,418, 25,417",Bon Banh Mi,Downtown,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30,10,2025-10-28 13:00:00,2025-11-18 17:00:00,2,1,55.9,27.95,-73.22,67.87,10,4860,2,0,100,,ryan@bonbanhmi.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
Week 6,"25,428, 25,427, 25,426, 25,425",Bon Banh Mi,Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30,10,2025-10-28 13:00:00,2025-11-18 17:00:00,2,2,76.95,36.76,-93.85,6.4,20,4860,0,2,0,,"holla@bonbanhmi.com, ryan@bonbanhmi.com, ryan@bonbanhmi.com",100%,3 email(s) from 3 match(es) (including 2 perfect)
Week 6,"25,424, 25,423, 25,422, 25,421",Bon Banh Mi,South Mt. Pleasant,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30,10,2025-10-28 13:00:00,2025-11-18 17:00:00,1,1,39.3,39.3,-95.27,77.91,10,4860,0,1,0,,"ryan@bonbanhmi.com, ryan@bonbanhmi.com",100%,2 email(s) from 2 match(es) (including 1 perfect)
Week 6,"25,901, 25,900, 25,899, 25,898, 25,897, 25,896, 25,895",Chinta Thai,Greenpoint,"Spend $100 with Blackbird Pay, get $25 in $FLY back",100,25,2025-11-15 12:00:00,2025-11-21 22:30:00,16,6,1096.75,42.46,3.54,114.23,150,4800,4,12,25,,,No match,No contacts matched above confidence threshold
Week 6,"25,620, 25,619, 25,618, 25,617, 25,615, 25,614, 25,613, 25,612, 25,611, 25,610, 25,608, 25,607, 25,606, 25,605, 25,604, 25,603, 25,601, 25,600, 22,596, 22,595, 22,594, 22,593, 22,592, 22,591, 22,590",Dada,Ridgewood,"Spend $50 with Blackbird Pay, get $25 in $FLY",50,25,2025-10-12 10:00:00,2025-11-22 4:00:00,2,2,187.56,42.32,,,50,4900,2,0,100,,,No match,No contacts matched above confidence threshold
Week 6,"26,528, 26,527, 26,526, 26,525, 26,524, 26,523, 26,522, 26,521, 26,520, 26,519, 26,518, 26,517, 26,516, 26,515",Dejavu,West Village,"Spend $100 with Blackbird Pay, get $50 in $FLY back",100,50,2025-11-17 9:00:00,2025-12-01 1:00:00,3,1,244.43,60.34,,,50,1750,3,0,100,,,No match,No contacts matched above confidence threshold
Week 6,"25,877, 25,876, 25,875, 25,874, 25,873, 25,872, 25,871, 25,870, 25,829, 25,828, 25,827, 25,826, 25,825, 25,824, 25,823, 25,822",Eats,Inner Richmond,"Spend $25, Get a buttermilk biscuit on us!",25,0,2025-11-04 9:00:00,2025-11-19 14:00:00,0,0,0,,,,0,0,0,0,,No transactions during activation period,,No match,No contacts matched above confidence threshold
Week 6,"26,422, 26,421, 26,420, 26,419, 26,418, 26,417, 26,416, 26,415, 26,414, 26,413, 26,412, 26,411, 26,410, 26,409",Filaga,Chelsea,"Spend $30 with Blackbird Pay, get $10 in $FLY back",30,10,2025-11-17 11:00:00,2025-11-30 19:00:00,5,4,183.83,32.83,2234.35,504.05,50,0,5,0,100,,info@realmutohospitalitygroup.com,85.0%,1 email(s) from 1 match(es) above 70%
Week 6,"25,705, 25,704, 25,703, 25,702, 25,701, 25,700, 25,699, 25,698, 25,697, 25,696, 25,695, 25,694",Friend of a Farmer,Gramercy,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",25,10,2025-11-03 16:00:00,2025-11-20 18:00:00,1,1,28.08,28.08,-96.6,-44.47,10,2410,1,0,100,,"rose@friendofafarmer.com, about@friendofafarmer.com, farm@smgaba.com, weston@friendofafarmer.com",100%,4 email(s) from 4 match(es) (including 4 perfect)
Week 6,"25,729, 25,728, 25,727, 25,726, 25,725, 25,724, 25,723, 25,722, 25,721, 25,720, 25,719, 25,718",Friend of a Farmer,Upper West Side,"Spend $25 with Blackbird Pay, get $10 in $FLY back (Happy Hour Only)",25,10,2025-11-03 16:00:00,2025-11-20 18:00:00,1,1,40.51,40.51,-97.58,-36.49,10,2410,0,1,0,,"rose@friendofafarmer.com, about@friendofafarmer.com, farm@smgaba.com, weston@friendofafarmer.com, farmuws@smgaba.com",94.2%,5 email(s) from 5 match(es) above 70%
Week 6,"25,514, 25,513, 25,512, 25,511, 25,510, 25,509, 25,508, 25,507, 25,506, 25,505, 25,504, 25,503, 25,502, 25,501, 25,500, 25,499, 25,498, 25,497, 25,496, 25,495",Huriyali,Downtown,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20,5,2025-11-03 15:00:00,2025-11-28 18:00:00,15,11,476.51,21.09,-75.98,37.98,65,4595,6,9,40,,"ruchi@huriyali.com, tom@huriyali.com",89.0%,2 email(s) from 2 match(es) above 70%
Week 6,"25,524, 25,523, 25,522, 25,521, 25,520, 25,519, 25,518, 25,517, 25,516, 25,515",Huriyali,Downtown,"Spend $22 with Blackbird Pay, get $5 back in $FLY",22,5,2025-11-01 13:00:00,2025-11-30 15:00:00,13,7,342.38,19.78,-82.74,29.41,35,4595,8,5,61.54,,"ruchi@huriyali.com, tom@huriyali.com",89.0%,2 email(s) from 2 match(es) above 70%
Week 6,"25,554, 25,553, 25,552, 25,551, 25,550, 25,549, 25,548, 25,547, 25,546, 25,545, 25,544, 25,543, 25,542, 25,541, 25,540, 25,539, 25,538, 25,537, 25,536, 25,535",Huriyali,Riverland,"Spend $20 with Blackbird Pay, get $5 in $FLY back",20,5,2025-11-03 15:00:00,2025-11-28 18:00:00,11,1,148.57,11.57,-91.52,-35.88,5,4595,1,10,9.09,,"ruchi@huriyali.com, tom@huriyali.com",86.5%,2 email(s) from 2 match(es) above 70%
Week 6,"25,534, 25,533, 25,532, 25,531, 25,530, 25,529, 25,528, 25,527, 25,526, 25,525",Huriyali,Riverland,"Spend $22 with Blackbird Pay, get $5 in $FLY back",22,5,2025-11-01 13:00:00,2025-11-30 15:00:00,9,5,233.6,20.37,-86.66,12.88,25,4595,5,4,55.56,,"ruchi@huriyali.com, tom@huriyali.com",84.0%,2 email(s) from 2 match(es) above 70%
Week 6,"25,320, 25,319, 25,318, 25,317",Indigo,Marina,"Spend $90 with Blackbird Pay, get $25 in $FLY back",90,25,2025-10-29 17:00:00,2025-11-19 21:00:00,1,1,126.35,126.35,-76.44,-37.15,25,4975,1,0,100,,kash@indigoinsf.com,85.7%,1 email(s) from 1 match(es) above 70%
Week 6,"26,644, 26,643, 26,642, 26,641, 26,640, 26,639, 26,638, 26,637",Kings County Brewers Collective,Bushwick,"Spend $50, grab a complimentary 4-pack to go (Blackbird Pay required)",50,0,2025-11-19 16:00:00,2025-11-26 23:00:00,53,30,2892.24,33.66,79.98,29.26,0,5000,23,30,43.4,,anni@kcbcbeer.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
Week 6,"26,408, 26,407, 26,406, 26,405, 26,404, 26,403, 26,402, 26,401, 26,400, 26,399, 26,398, 26,397, 26,396, 26,395, 26,394, 26,393",Landmark Cevicheria,Boerum Hill,"Spend $50 with Blackbird Pay, get $25 in $FLY back",50,25,2025-11-15 16:00:00,2025-11-30 22:00:00,16,15,1228.59,54.6,149.48,17.44,375,0,15,1,93.75,,landmarkcevicheria@gmail.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
Week 6,"25,237, 25,236, 25,235, 25,234, 25,233, 25,232, 25,231, 25,230",Lillian's Market & Cafe,Hampton Park Terrace,"Spend $15 with Blackbird Pay, get $5 in $FLY back",15,5,2025-10-27 7:15:00,2025-11-19 12:00:00,10,6,174.36,8.46,-87.02,-30.67,30,4250,5,5,50,,heather.greene@icloud.com,89.2%,1 email(s) from 1 match(es) above 70%
Week 6,"25,253, 25,252, 25,251, 25,250, 25,249, 25,248, 25,247, 25,246",Lillian's Restaurant,Hampton Park Terrace,"Spend $75 with Blackbird Pay, get $25 in $FLY back",75,25,2025-10-27 17:00:00,2025-11-18 21:00:00,4,3,649.76,77.99,-71.47,151.82,100,4250,3,1,75,,,No match,No contacts matched above confidence threshold
Week 6,"25,881, 25,880, 25,879, 25,878",Momoya,SoHo,"Spend $35 with Blackbird Pay, get $15 in $FLY back",35,15,2025-11-06 12:00:00,2025-11-27 22:00:00,7,7,673.66,46.54,-64.49,-32.69,105,2215,4,3,57.14,,"gib@momoyany.com, yanti@momoyany.com",100%,2 email(s) from 2 match(es) (including 2 perfect)
Week 6,"25,023, 25,022, 25,021, 25,020",Nopalito,NOPA,"Spend $55 with Blackbird Pay, get $20 in $FLY back",55,20,2025-10-29 16:30:00,2025-11-19 21:00:00,2,1,130.11,30.5,-87.15,-43.21,20,4980,2,0,100,,hello@nopalitosf.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
Week 6,"25,655, 25,654, 25,653, 25,650, 25,649, 25,648, 25,647, 25,646, 25,643, 25,642, 25,641, 25,640, 25,639, 25,636, 25,635",Olmo,Bedford-Stuyvesant,"Spend $100 or more, earn $50 in $FLY",100,50,2025-11-01 17:00:00,2025-11-21 23:00:00,9,8,1146.32,100.44,105.45,-47.49,400,1050,8,1,88.89,,,No match,No contacts matched above confidence threshold
Week 6,"26,306, 26,305, 26,304, 26,303, 26,302, 26,301, 26,300, 26,299, 26,298, 26,297, 26,296, 26,295, 26,294, 26,293, 26,292, 26,291",Oodle Yunnan Rice Noodle,Outer Richmond,Spend $20+ Get $10 in Flyback!,20,10,2025-11-12 11:00:00,2025-11-29 20:00:00,6,6,318.77,48.36,382.47,52.31,60,0,6,0,100,,oodlenoodle68@gmail.com,100%,1 email(s) from 1 match(es) (including 1 perfect)
